model,config_id,params,fold,n_train,n_val,fit_time_sec,predict_time_sec,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_3,recall_class_3,f1_class_3,support_class_3
HistGradientBoosting,1,"{'max_iter': 200, 'max_depth': None, 'class_weight': 'balanced'}",2,6148,1503,3.7261779999826103,0.09092900005634874,0.9647371922821024,0.8628610719331883,0.8867068575435756,0.8628610719331883,0.8696588226879337,0.9638952598105889,0.8880401924154304,0.9967506092607636,0.9983726606997559,0.9975609756097561,1229,0.7967032967032966,0.9119496855345912,0.8504398826979472,159,0.8666666666666667,0.6782608695652174,0.7609756097560976,115
HistGradientBoosting,1,"{'max_iter': 200, 'max_depth': None, 'class_weight': 'balanced'}",3,6146,1505,4.337796100066043,0.07763930002693087,0.9740863787375416,0.9093099077276633,0.9176971788526768,0.9093099077276633,0.9110275620693425,0.9739576330615606,0.9188419108848932,0.9983660130718954,0.9943043124491456,0.9963310232368529,1229,0.8494623655913979,0.9518072289156626,0.8977272727272727,166,0.9052631578947369,0.7818181818181819,0.8390243902439024,110
HistGradientBoosting,1,"{'max_iter': 200, 'max_depth': None, 'class_weight': 'balanced'}",4,6095,1556,3.4378230000147596,0.06761180004104972,0.9710796915167095,0.9032405071805737,0.9445018229633614,0.9032405071805737,0.9215552311416181,0.9706432754092089,0.906548818303677,0.9836829836829837,0.9952830188679245,0.9894490035169988,1272,0.8698224852071006,0.8909090909090909,0.8802395209580839,165,0.98,0.8235294117647058,0.8949771689497716,119
HistGradientBoosting,1,"{'max_iter': 200, 'max_depth': None, 'class_weight': 'balanced'}",5,6100,1551,3.438458999968134,0.06962760002352297,0.9819471308833011,0.931360552897191,0.9600748726878331,0.931360552897191,0.9437477399341198,0.9815810147108414,0.9431945882807159,0.9921197793538219,0.9976228209191759,0.9948636902410115,1262,0.9193548387096774,0.9661016949152542,0.9421487603305785,177,0.96875,0.8303571428571429,0.8942307692307693,112
XGBoost,0,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",1,6115,1536,4.040272300015204,0.031354900100268424,0.9759114583333334,0.9289174018088637,0.9213376551506048,0.9289174018088637,0.9250942345707353,0.9760468473435883,0.9240472590630777,0.9960031974420464,0.9928286852589642,0.994413407821229,1255,0.9047619047619048,0.9156626506024096,0.9101796407185628,166,0.8632478632478633,0.8782608695652174,0.8706896551724138,115
XGBoost,0,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",2,6148,1503,4.638790199998766,0.029406999936327338,0.9660678642714571,0.867856058716526,0.8952599366925208,0.867856058716526,0.8759901390174639,0.9652198181489765,0.8921708674163912,0.9959415584415584,0.9983726606997559,0.9971556277935798,1229,0.8021978021978022,0.9182389937106918,0.8563049853372434,159,0.8876404494382022,0.6869565217391305,0.7745098039215687,115
XGBoost,0,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",3,6146,1505,4.318198899971321,0.029616700019687414,0.9727574750830564,0.8977311420398659,0.9195055058438024,0.8977311420398659,0.9043709888612367,0.9723137712892217,0.9142694530332319,0.996742671009772,0.9959316517493898,0.9963369963369964,1229,0.8404255319148937,0.9518072289156626,0.8926553672316384,166,0.9213483146067416,0.7454545454545455,0.8241206030150754,110
XGBoost,0,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",4,6095,1556,4.3390851999865845,0.03317139996215701,0.9704370179948586,0.8994621576475073,0.9467776685295136,0.8994621576475073,0.9205491943207734,0.9699329642467271,0.9042107496376854,0.982170542635659,0.9960691823899371,0.9890710382513661,1272,0.8682634730538922,0.8787878787878788,0.8734939759036144,165,0.98989898989899,0.8235294117647058,0.8990825688073395,119
XGBoost,0,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",5,6100,1551,4.483392499969341,0.027711800066754222,0.9780786589297228,0.9211134315840996,0.9493852760635059,0.9211134315840996,0.9329767799094779,0.9776913292061735,0.931069024553854,0.9913249211356467,0.9960380348652932,0.9936758893280633,1262,0.898936170212766,0.9548022598870056,0.9260273972602739,177,0.9578947368421052,0.8125,0.8792270531400966,112
XGBoost,1,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",1,6115,1536,2.899269299930893,0.028059100033715367,0.974609375,0.924010818955712,0.9158841471090525,0.924010818955712,0.9198964711468607,0.9747707159597137,0.9199469384551681,0.9960031974420464,0.9928286852589642,0.994413407821229,1255,0.9041916167664671,0.9096385542168675,0.9069069069069069,166,0.847457627118644,0.8695652173913043,0.8583690987124464,115
